EMPLOYEE_ID|EMAIL|HIRE_DATE|JOB_ID|SALARY|MANAGER_ID|DEPARTMENT_ID|out_DEPARTMENT_NAME|out_Full_Name
138|SSTILES||ST_CLERK|3200|123|50|Shipping|Stephen Stiles
139|JSEO||ST_CLERK|2700|123|50|Shipping|John Seo
140|JPATEL||ST_CLERK|2500|123|50|Shipping|Joshua Patel
141|TRAJS||ST_CLERK|3500|124|50|Shipping|Trenna Rajs
142|CDAVIES||ST_CLERK|3100|124|50|Shipping|Curtis Davies
143|RMATOS||ST_CLERK|2600|124|50|Shipping|Randall Matos
144|PVARGAS||ST_CLERK|2500|124|50|Shipping|Peter Vargas
145|JRUSSEL||SA_MAN|14000|100|80|Sales|John Russell
146|KPARTNER||SA_MAN|13500|100|80|Sales|Karen Partners
147|AERRAZUR||SA_MAN|12000|100|80|Sales|Alberto Errazuriz
148|GCAMBRAU||SA_MAN|11000|100|80|Sales|Gerald Cambrault
149|EZLOTKEY||SA_MAN|10500|100|80|Sales|Eleni Zlotkey
150|PTUCKER||SA_REP|10000|145|80|Sales|Peter Tucker
151|DBERNSTE||SA_REP|9500|145|80|Sales|David Bernstein
152|PHALL||SA_REP|9000|145|80|Sales|Peter Hall
153|COLSEN||SA_REP|8000|145|80|Sales|Christopher Olsen
154|NCAMBRAU||SA_REP|7500|145|80|Sales|Nanette Cambrault
155|OTUVAULT||SA_REP|7000|145|80|Sales|Oliver Tuvault
156|JKING||SA_REP|10000|146|80|Sales|Janette King
157|PSULLY||SA_REP|9500|146|80|Sales|Patrick Sully
158|AMCEWEN||SA_REP|9000|146|80|Sales|Allan McEwen
159|LSMITH||SA_REP|8000|146|80|Sales|Lindsey Smith
160|LDORAN||SA_REP|7500|146|80|Sales|Louise Doran
161|SSEWALL||SA_REP|7000|146|80|Sales|Sarath Sewall
162|CVISHNEY||SA_REP|10500|147|80|Sales|Clara Vishney
163|DGREENE||SA_REP|9500|147|80|Sales|Danielle Greene
164|MMARVINS||SA_REP|7200|147|80|Sales|Mattea Marvins
165|DLEE||SA_REP|6800|147|80|Sales|David Lee
166|SANDE||SA_REP|6400|147|80|Sales|Sundar Ande
167|ABANDA||SA_REP|6200|147|80|Sales|Amit Banda
168|LOZER||SA_REP|11500|148|80|Sales|Lisa Ozer
169|HBLOOM||SA_REP|10000|148|80|Sales|Harrison Bloom
170|TFOX||SA_REP|9600|148|80|Sales|Tayler Fox
171|WSMITH||SA_REP|7400|148|80|Sales|William Smith
172|EBATES||SA_REP|7300|148|80|Sales|Elizabeth Bates
173|SKUMAR||SA_REP|6100|148|80|Sales|Sundita Kumar
174|EABEL||SA_REP|11000|149|80|Sales|Ellen Abel
175|AHUTTON||SA_REP|8800|149|80|Sales|Alyssa Hutton
176|JTAYLOR||SA_REP|8600|149|80|Sales|Jonathon Taylor
177|JLIVINGS||SA_REP|8400|149|80|Sales|Jack Livingston
178|KGRANT||SA_REP|7000|149|0||Kimberely Grant
179|CJOHNSON||SA_REP|6200|149|80|Sales|Charles Johnson
180|WTAYLOR||SH_CLERK|3200|120|50|Shipping|Winston Taylor
181|JFLEAUR||SH_CLERK|3100|120|50|Shipping|Jean Fleaur
182|MSULLIVA||SH_CLERK|2500|120|50|Shipping|Martha Sullivan
183|GGEONI||SH_CLERK|2800|120|50|Shipping|Girard Geoni
184|NSARCHAN||SH_CLERK|4200|121|50|Shipping|Nandita Sarchand
185|ABULL||SH_CLERK|4100|121|50|Shipping|Alexis Bull
186|JDELLING||SH_CLERK|3400|121|50|Shipping|Julia Dellinger
187|ACABRIO||SH_CLERK|3000|121|50|Shipping|Anthony Cabrio
188|KCHUNG||SH_CLERK|3800|122|50|Shipping|Kelly Chung
189|JDILLY||SH_CLERK|3600|122|50|Shipping|Jennifer Dilly
190|TGATES||SH_CLERK|2900|122|50|Shipping|Timothy Gates
191|RPERKINS||SH_CLERK|2500|122|50|Shipping|Randall Perkins
192|SBELL||SH_CLERK|4000|123|50|Shipping|Sarah Bell
193|BEVERETT||SH_CLERK|3900|123|50|Shipping|Britney Everett
194|SMCCAIN||SH_CLERK|3200|123|50|Shipping|Samuel McCain
195|VJONES||SH_CLERK|2800|123|50|Shipping|Vance Jones
196|AWALSH||SH_CLERK|3100|124|50|Shipping|Alana Walsh
197|KFEENEY||SH_CLERK|3000|124|50|Shipping|Kevin Feeney
198|DOCONNEL||SH_CLERK|2600|124|50|Shipping|Donald OConnell
199|DGRANT||SH_CLERK|2600|124|50|Shipping|Douglas Grant
200|JWHALEN||AD_ASST|4400|101|10|Administration|Jennifer Whalen
201|MHARTSTE||MK_MAN|13000|100|20|Marketing|Michael Hartstein
202|PFAY||MK_REP|6000|201|20|Marketing|Pat Fay
203|SMAVRIS||HR_REP|6500|101|40|Human Resources|Susan Mavris
204|HBAER||PR_REP|10000|101|70|Public Relations|Hermann Baer
205|SHIGGINS||AC_MGR|12008|101|110|Accounting|Shelley Higgins
206|WGIETZ||AC_ACCOUNT|8300|205|110|Accounting|William Gietz
